year,month,Kinneret_Level,Rain_Amount
1978,1,-209.833,80.9
1978,2,-209.3275,33.2
1978,3,-209.2169231,64.7
1978,4,-209.294,12.2
1978,5,-209.1875,1.5
1978,6,-209.49,0
1978,7,-209.3,0
1978,8,-209.9,0
1978,9,-209.79,0
1978,10,-209.8728571,19.1
1978,11,-209.9475,3.7
1978,12,-209.7275,60.4
1979,1,-209.985,37.5
1979,2,-210.28,24.3
1979,3,-210.1625,39.4
1979,4,-209.92,12.5
1979,5,-210.406,0
1979,6,-210.336,0
1979,7,-211.1375,0
1979,8,-211.2666667,0
1979,9,-211.2,0
1979,10,-211.4766667,13.3
1979,11,-211.2675,72.2
1979,12,-211.24,222.3
1980,1,-210.5533333,121.8
1980,2,-210.02375,107
1980,3,-209.304,80.9
1980,4,-209.4116667,45.8
1980,5,-209.334,0
1980,6,-209.414,0
1980,7,-209.565,0
1980,8,-209.822,0
1980,9,-209.6525,0
1980,10,-210.1225,16.8
1980,11,-209.955,9.8
1980,12,-210.25,118.9
1981,1,-209.4911111,175.8
1981,2,-209.4133333,83.7
1981,3,-209,31.8
1981,4,-209.554,26.3
1981,5,-208.8725,0
1981,6,-209.318,0
1981,7,-209.3575,0
1981,8,-209.4375,0
1981,9,-209.9525,0
1981,10,-209.66,0.3
1981,11,-210.134,41
1981,12,-209.8225,7.9
1982,1,-210.685,34.1
1982,2,-209.8525,60.6
1982,3,-210.4525,61.3
1982,4,-209.6375,7.2
1982,5,-210.14,9.3
1982,6,-209.95,0
1982,7,-210.1925,0
1982,8,-210.778,0
1982,9,-210.5125,0
1982,10,-211.372,3.2
1982,11,-210.9833333,78.8
1982,12,-210.864,109.5
1983,1,-210.2490909,120.4
1983,2,-210.6783333,134.6
1983,3,-209.6,81.8
1983,4,-209.892,20.8
1983,5,-209.526,8
1983,6,-209.4925,0
1983,7,-210.1466667,0
1983,8,-209.79,0
1983,9,-210.385,0
1983,10,-210.164,0
1983,11,-210.46,64.8
1983,12,-210.38,13.6
1984,1,-210.0833333,88.5
1984,2,-210.305,30.3
1984,3,-209.9657143,74.3
1984,4,-209.4075,63.8
1984,5,-209.57,0
1984,6,-209.7316667,0
1984,7,-210.065,0
1984,8,-210.0625,0
1984,9,-210.5966667,0
1984,10,-210.44,21
1984,11,-210.4225,80
1984,12,-210.775,67
1985,1,-210.702,44
1985,2,-210.0866667,113.3
1985,3,-209.872,9.2
1985,4,-210.1571429,45.3
1985,5,-209.9116667,0
1985,6,-210.4,0
1985,7,-210.2466667,0
1985,8,-210.655,0
1985,9,-211.0075,0
1985,10,-210.6475,6.9
1985,11,-211.372,10.4
1985,12,-211.175,49
1986,1,-211.5763636,83.1
1986,2,-211.186,81.3
1986,3,-211.595,17.6
1986,4,-211.356,16.5
1986,5,-211.46,35.9
1986,6,-211.2233333,0
1986,7,-211.63,0
1986,8,-211.8771429,0
1986,9,-211.9183333,0
1986,10,-212.0683333,39.3
1986,11,-211.7571429,165.5
1986,12,-211.8085714,79.7
1987,1,-210.8357143,44.6
1987,2,-210.705,27.9
1987,3,-209.9753846,62.3
1987,4,-210.1316667,5.4
1987,5,-209.54,0
1987,6,-210.66,0
1987,7,-209.93,0
1987,8,-210.195,0
1987,9,-210.746,0
1987,10,-210.3633333,21.5
1987,11,-210.722,6
1987,12,-210.56,127.1
1988,1,-209.885,93.4
1988,2,-209.6533333,91.6
1988,3,-209.126,69.8
1988,4,-209.156,12.2
1988,5,-208.992,0
1988,6,-209.254,0
1988,7,-210,0
1988,8,-209.8425,0
1988,9,-209.99,0
1988,10,-209.608,3.6
1988,11,-210.2625,45
1988,12,-210.142,99.6
1989,1,-210.1666667,26.9
1989,2,-210.3925,28.7
1989,3,-210.6045455,45.7
1989,4,-210.1033333,2.1
1989,5,-211.0033333,0
1989,6,-210.7375,0
1989,7,-210.685,0
1989,8,-211.7516667,0
1989,9,-211.655,0
1989,10,-211.5442857,18.3
1989,11,-211.895,73.4
1989,12,-211.6875,58.8
1990,1,-211.7814286,135.1
1990,2,-211.7725,64.6
1990,3,-211.7675,51.8
1990,4,-211.6666667,30.2
1990,5,-211.572,0.3
1990,6,-211.4033333,0
1990,7,-211.8575,0
1990,8,-211.9466667,0
1990,9,-212.548,0
1990,10,-212.39,10.4
1990,11,-212.622,22.8
1990,12,-212.5385714,18.9
1991,1,-212.6328571,120.8
1991,2,-212.4495,44.2
1991,3,-212.3645455,93.9
1991,4,-212.1421053,16.9
1991,5,-212.1289474,0.4
1991,6,-212.1523529,0
1991,7,-212.2995455,0
1991,8,-212.4195238,0
1991,9,-212.506875,0
1991,10,-212.6759091,3.1
1991,11,-212.615,88.7
1991,12,-212.288,191.3
1992,1,-210.5818182,175.3
1992,2,-209.5163158,250.8
1992,3,-209.18,18.2
1992,4,-208.9515789,0.9
1992,5,-209.0621053,6.4
1992,6,-209.097619,3.7
1992,7,-209.175,0
1992,8,-209.39,0
1992,9,-209.4336364,0
1992,10,-209.34,0
1992,11,-209.4558333,77.4
1992,12,-209.43,195.6
1993,1,-209.3371429,53.1
1993,2,-209.2542857,58.3
1993,3,-209.0557143,40.4
1993,4,-208.9477778,0
1993,5,-208.95125,10.1
1993,6,-208.9146667,0
1993,7,-209.2557143,0
1993,8,-209.2057143,0
1993,9,-209.2033333,0
1993,10,-209.3577778,4.3
1993,11,-209.42875,10.2
1993,12,-209.5857143,3.9
1994,1,-209.651,98.5
1994,2,-209.6717647,75.6
1994,3,-209.33,61.6
1994,4,-209.2746667,1.1
1994,5,-209.3576471,0
1994,6,-209.8328571,0
1994,7,-209.8425,0
1994,8,-210.0825,0
1994,9,-210.0042857,0.2
1994,10,-209.9525,8.5
1994,11,-210.7223077,130.6
1994,12,-210.205,87.3
1995,1,-209.8488889,28.9
1995,2,-209.3438889,115.1
1995,3,-209.3355556,17.4
1995,4,-209.32,18.1
1995,5,-209.4366667,2.7
1995,6,-209.6983333,0
1995,7,-209.7916667,0
1995,8,-209.7085714,0
1995,9,-209.7644444,0
1995,10,-210.23375,0.2
1995,11,-210.6535294,47.7
1995,12,-210.6205263,38.7
1996,1,-210.6585714,116.4
1996,2,-210.319375,43.7
1996,3,-210.16625,109.8
1996,4,-209.869375,16.5
1996,5,-209.929,0
1996,6,-210.32,0
1996,7,-210.236,0
1996,8,-210.6355556,0
1996,9,-210.486,0
1996,10,-211.1071429,41.1
1996,11,-210.6871429,14.7
1996,12,-211.1757143,62.6
1997,1,-211.2738095,71.3
1997,2,-211.201875,142.9
1997,3,-210.6817647,72.5
1997,4,-210.335,7.9
1997,5,-210.702,2.7
1997,6,-210.6375,0
1997,7,-211.0166667,0
1997,8,-210.9342857,0
1997,9,-211.454,0.5
1997,10,-211.295,6
1997,11,-211.5285714,40.7
1997,12,-211.8944444,98.9
1998,1,-211.7177273,134.8
1998,2,-211.47,45.1
1998,3,-211.1417647,93.1
1998,4,-210.7469231,27.5
1998,5,-210.883,5.8
1998,6,-211.04875,0
1998,7,-211.1728571,0
1998,8,-211.6311111,0
1998,9,-211.61,0
1998,10,-211.78375,2.4
1998,11,-211.951,0
1998,12,-212.1365,76.8
1999,1,-212.3266667,61.7
1999,2,-212.189375,28.3
1999,3,-212.0411111,22.6
1999,4,-211.9305556,36
1999,5,-212.155,0
1999,6,-212.15,0
1999,7,-212.4811111,0
1999,8,-212.4644444,0
1999,9,-212.5777778,0
1999,10,-212.7494118,0
1999,11,-212.768,1.7
1999,12,-212.9384211,42.3
2000,1,-212.8165217,220.7
2000,2,-212.362,56
2000,3,-212.3635,49.2
2000,4,-212.4261538,0.9
2000,5,-212.7136364,0
2000,6,-212.7863636,0
2000,7,-212.893,0
2000,8,-213.07,0
2000,9,-213.0688235,8.1
2000,10,-213.424375,33.9
2000,11,-213.4733333,9.2
2000,12,-213.495,84.4
2001,1,-213.6942308,46.4
2001,2,-213.482,70.9
2001,3,-213.2663158,5.5
2001,4,-213.4384211,2.6
2001,5,-213.5004348,21
2001,6,-213.7110526,0
2001,7,-213.8035,0
2001,8,-214.0266667,0
2001,9,-214.2684615,0
2001,10,-214.4561905,2
2001,11,-214.4880952,36.7
2001,12,-214.403,117.2
2002,1,-214.1644444,101.3
2002,2,-213.9905263,47.3
2002,3,-213.928,80.2
2002,4,-213.5045,55.5
2002,5,-213.4205263,5
2002,6,-213.4121429,0
2002,7,-213.7473913,0
2002,8,-213.9205,0
2002,9,-213.9684615,0
2002,10,-214.1766667,6.3
2002,11,-214.1865,26.1
2002,12,-214.1109091,164.7
2003,1,-212.506,65.4
2003,2,-211.9534783,222
2003,3,-210.8682609,112.2
2003,4,-210.434,5.7
2003,5,-210.4570588,0
2003,6,-210.37,0
2003,7,-210.3113636,0
2003,8,-210.4590909,0
2003,9,-210.8659091,0
2003,10,-210.8215789,0
2003,11,-210.9405,27.3
2003,12,-211.19,79.4
2004,1,-210.2314286,173.1
2004,2,-209.47625,65.2
2004,3,-209.1479167,5.1
2004,4,-209.2525,0.7
2004,5,-209.3504167,0
2004,6,-209.4709091,0
2004,7,-209.6928571,0
2004,8,-209.9522917,0
2004,9,-210.0292105,0
2004,10,-210.3230952,23.1
2004,11,-210.4336,75.7
2004,12,-210.4880435,27.2
2005,1,-210.6533333,68.4
2005,2,-210.16525,97.2
2005,3,-209.9054348,22.4
2005,4,-210.1035294,2.3
2005,5,-210.0806818,5.3
2005,6,-210.3921739,0
2005,7,-210.5561364,0
2005,8,-210.8409091,0
2005,9,-211.0109524,0
2005,10,-210.8842857,11.2
2005,11,-211.2908696,32.6
2005,12,-211.3657895,80.5
2006,1,-211.4427778,72.3
2006,2,-211.1455,56.5
2006,3,-211.13175,3.4
2006,4,-211.0047222,30.2
2006,5,-211.0158333,0
2006,6,-211.1080435,0
2006,7,-211.2625,0
2006,8,-211.4195455,0
2006,9,-211.5694737,0
2006,10,-211.7893478,36.2
2006,11,-211.7733333,6.7
2006,12,-211.9052381,24.4
2007,1,-211.9162917,60.3
2007,2,-211.7527619,100.4
2007,3,-211.42925,42.1
2007,4,-211.4226316,11
2007,5,-211.4471739,6.5
2007,6,-211.5419444,0
2007,7,-211.717381,0
2007,8,-211.93125,0
2007,9,-212.1316667,0
2007,10,-212.276,0
2007,11,-212.26375,47.3
2007,12,-212.3015217,55.3
2008,1,-212.6171739,78.4
2008,2,-212.6184091,70.5
2008,3,-212.3986364,2.1
2008,4,-212.41125,0
2008,5,-212.607,8.5
2008,6,-212.8352381,0
2008,7,-213.1575,0
2008,8,-213.4286842,0
2008,9,-213.6377778,0.8
2008,10,-213.6155263,34.3
2008,11,-213.8415789,25.8
2008,12,-213.9545238,64.4
2009,1,-214.2063043,15.2
2009,2,-214.055,177.1
2009,3,-213.6611364,35.7
2009,4,-213.6031579,3.2
2009,5,-213.5902381,0
2009,6,-213.6369565,0
2009,7,-213.6966667,0
2009,8,-213.9775,0
2009,9,-214.0883333,6.5
2009,10,-214.1887037,44.1
2009,11,-214.1691667,65.8
2009,12,-214.0574138,114.7
2010,1,-213.5520968,92
2010,2,-213.2383333,50.7
2010,3,-212.9778846,0.2
2010,4,-212.9652174,2.4
2010,5,-212.9128846,0.6
2010,6,-213.0358,0
2010,7,-213.2172222,0
2010,8,-213.3589655,0
2010,9,-213.5530357,0
2010,10,-213.6806207,0
2010,11,-213.7046296,0
2010,12,-213.7966552,117.3
2011,1,-213.6425806,54.9
2011,2,-213.3685714,87.8
2011,3,-212.9554839,53.8
2011,4,-212.7348333,60.1
2011,5,-212.6684483,8.4
2011,6,-212.7589655,0
2011,7,-212.9195161,0
2011,8,-213.1143103,0
2011,9,-213.2646552,6
2011,10,-213.3862069,0
2011,11,-213.4736207,79.8
2011,12,-213.4774194,27.5
2012,1,-212.8696774,130.2
2012,2,-212.4291379,85.3
2012,3,-211.8730645,36.1
2012,4,-211.6695,0
2012,5,-211.6391935,0
2012,6,-211.7433929,0
2012,7,-211.8624194,0
2012,8,-212.038871,0
2012,9,-212.1853571,0
2012,10,-212.2770968,30.2
2012,11,-212.2836667,66
2012,12,-212.1077419,90.4
2013,1,-210.7956452,187.9
2013,2,-210.4583929,12.5
2013,3,-210.2659677,2.8
2013,4,-210.2085,38.7
2013,5,-210.2156452,17.4
2013,6,-210.3451667,0
2013,7,-210.5153226,0
2013,8,-210.7004839,0
2013,9,-210.851,0
2013,10,-211.0083871,0.2
2013,11,-211.0851667,1.5
2013,12,-211.0325806,104.2
2014,1,-211.4317742,13.3
2014,2,-211.4230357,1.9
2014,3,-211.3219355,56.5
2014,4,-211.3376667,0.1
2014,5,-211.4282258,36.2
2014,6,-211.6283333,0
2014,7,-211.8685484,0
2014,8,-212.1079032,0
2014,9,-212.2923333,0.2
2014,10,-212.4248387,30.8
2014,11,-212.442,100.2
2014,12,-212.4451613,35.2
2015,1,-212.5559677,105.1
2015,2,-212.3367857,119.3
2015,3,-212.1206452,16.1
2015,4,-212.0343333,30.1
2015,5,-212.0430645,0.4
2015,6,-212.1821667,0
2015,7,-212.333871,0
2015,8,-212.5030645,0
2015,9,-212.6221667,0
2015,10,-212.7130645,20.1
2015,11,-212.7668333,35.1
2015,12,-212.7962903,32.3
2016,1,-212.9109677,105.4
2016,2,-212.7941379,51.7
2016,3,-212.6806452,19.9
2016,4,-212.6175,18.6
2016,5,-212.6643548,5.8
2016,6,-212.8186667,0
2016,7,-212.9817742,0
2016,8,-213.1530645,0
2016,9,-213.2993333,0
2016,10,-213.4195161,0
2016,11,-213.4838333,2.8
2016,12,-213.4230968,151.4
2017,1,-213.5032258,43.5
2017,2,-213.36125,15.9
2017,3,-213.2440323,29
2017,4,-213.1916667,24
2017,5,-213.2437097,0
2017,6,-213.3935,0
2017,7,-213.5366129,0
2017,8,-213.7079032,0
2017,9,-213.8561667,0
2017,10,-213.9704839,5.6
2017,11,-214.027,10.7
2017,12,-214.0735484,24.1
2018,1,-214.0770968,155
2018,2,-213.8178571,102.7
2018,3,-213.6527419,7.4
2018,4,-213.6183333,69.1
2018,5,-213.6217742,5
2018,6,-213.7494,4.9
2018,7,-213.9072581,0
2018,8,-214.0824194,0
2018,9,-214.2073333,0
2018,10,-214.3217742,4
2018,11,-214.3836667,57.2
2018,12,-214.3335484,125.2
2019,1,-213.103871,144.3
2019,2,-212.6766071,99.9
2019,3,-212.1930645,64
2019,4,-211.6728333,30.1
2019,5,-211.5238333,0
2019,6,-211.5553448,0
2019,7,-211.6246667,0
2019,8,-211.7106452,0
2019,9,-211.8173333,0
2019,10,-211.8746774,1.1
2019,11,-211.9261667,2.7
2019,12,-211.8519355,135.6
2020,1,-210.2301613,198.6
2020,2,-209.7701724,51.2
2020,3,-209.4708065,50.1
2020,4,-209.2601786,25.7
2020,5,-209.2156452,12.8
2020,6,-209.317,0
2020,7,-209.4406452,0
2020,8,-209.5681034,0
2020,9,-209.6505172,0
2020,10,-209.8030645,0
2020,11,-209.837,122
2020,12,-209.7985484,70
2021,1,-209.7903226,90.9
2021,2,-209.5825,91.9
2021,3,-209.4301613,18.7
2021,4,-209.3813793,5.1
2021,5,-209.4703667,0
2021,6,-209.6389655,0
2021,7,-209.7712903,0
2021,8,-209.9233333,0
2021,9,-210.0777586,0
2021,10,-210.1966129,1.9
2021,11,-210.3125,18.4
2021,12,-210.3975806,89.5
